DataHora,Preco
2025-06-11 19:51:24,55.0
2025-06-11 19:52:26,55.0
2025-06-11 19:53:27,55.0
2025-06-11 19:54:28,55.0
2025-06-11 19:55:30,55.0
2025-06-12 11:13:48,54.99
2025-06-12 11:16:44,55.02
2025-06-12 11:17:45,55.02
2025-06-12 11:18:46,54.99
2025-06-12 11:19:47,55.04
2025-06-12 11:20:47,55.03
